Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
AUTOMATA_RESEARCH_COMPLETE,Text,,"<i>""What do their Automata tell us about the Ancients? Yes, they were far more technologically advanced than us, that's a given. But how different was their society from ours? These weaponized Automata tell us there was violence, there was fear. But what were they fighting, what did they fear?""</i> - Alistair Ashby 

We encountered these entities during our exploration of the ancient site. This is the single most important archaeological discovery ever made! 

Our analysis concludes that these entities are inorganic and that they have been inactive for more than 1.8m years. The technology permitting the creation of such constructs is beyond our understanding; we are facing the artifacts of a civilization far in advance of our own. 

However, we have achieved two major breakthroughs in the course of our research into these creations:

1) We have gained new insight into the behavior and capabilities of the Ancient automata, which we will be able to leverage in the field from now on.
2) We have identified the type of materials from which they are made of, and are already theorizing on possible applications.",,"<i>""Que nous disent leurs Automates sur les Anciens ? Oui, ils étaient bien plus avancés technologiquement que nous, c'est un fait. Mais à quel point leur société était-elle différente de la nôtre ? Ces Automates armés nous disent qu'il y avait de la violence, qu'il y avait de la peur. . Mais que combattaient-ils, que craignaient-ils ?""</i> - Alistair Ashby

Nous avons rencontré ces entités lors de notre exploration du site antique. Il s’agit de la découverte archéologique la plus importante jamais réalisée !

Notre analyse conclut que ces entités sont inorganiques et qu’elles sont inactives depuis plus de 1,8 million d’années. La technologie permettant la création de telles constructions dépasse notre compréhension ; nous sommes confrontés aux artefacts d’une civilisation bien en avance sur la nôtre.

Cependant, nous avons réalisé deux avancées majeures au cours de nos recherches sur ces créations :

1) Nous avons acquis de nouvelles connaissances sur le comportement et les capacités des automates anciens, que nous pourrons désormais exploiter sur le terrain.
2) Nous avons identifié le type de matériaux à partir desquels ils sont fabriqués et réfléchissons déjà à des applications possibles.",,,,,,
AUTOMATA_RESEARCH_BENEFITS,Text,,New information about Ancient Automata abilities available in tactical missions; Ancient Automata no longer immune to Daze effects from our weaponry,,De nouvelles informations sur les capacités des automates anciens disponibles dans les missions tactiques ; Les automates anciens ne sont plus immunisés contre les effets d'étourdissement de nos armes.,,,,,,
EXOTIC_RESEARCH_TITLE,Text,,Exotic Materials,,Matériaux exotiques,,,,,,
EXOTIC_RESEARCH_REVEAL,Text,,"We have identified 3 distinct previously unknown substances in the composition of the Ancient Automata.
",,Nous avons identifié 3 substances distinctes jusqu’alors inconnues dans la composition des Automates Anciens.,,,,,,
EXOTIC_RESEARCH_COMPLETE,Text,,"<i>""Dr. Helena Lewandowski has claimed naming rights on the Exotic Materials on the basis that this is an archaeological find. I want it to be a matter of record that this is the reason why, what is in fact an object in a previously unobserved state of matter, but vaguely reminiscent of Quark-gluon plasma, shall be confusingly known as 'Living Crystal'.""</i> - Dr. Rupert Everett-Bancroft

The frames of the Ancient Automata are made of an extremely light and resistant alloy, dubbed “Orichalculm” by the Archaelogy department. Initial experimentation has further revealed that the alloy has the ability to change its conductivity properties in response to external stimuli.

The Automata appear to draw electric power from a self-sustained and self-modulated miniaturized fusion reaction within a super-heated plasma compound: the “Living Crystal”. We need to secure and analyze an undamaged sample of this material.

We have not found a device that would be turning the electric power generated by the Living Crystal into mechanical power; that is, we do not know how the Automata are able to move. This, taken with the fact that, according to the field report, the parts that make up the entity were suspended at a distance from each other, leads us to speculate on the presence of a third exotic material that is capable of nullifying gravity and providing motor function, a “Protean Mutane”.

We are not capable of replicating these Exotic Materials, or even of providing any reasonable hypothesis as to where they could come from. However, we are confident that we can find practical applications if we are able to secure them in their unaltered form in sufficient quantities, and once we can examine samples of the Living Crystal and of the Protean Mutane.",,"<i>""Le Dr Helena Lewandowski a revendiqué les droits de dénomination sur les matériaux exotiques en se basant sur le fait qu'il s'agit d'une découverte archéologique. Je veux qu'il soit notifié que c'est la raison pour laquelle, ce qui est en fait un objet dans un Un état de la matière jusqu'alors inobservé, mais rappelant vaguement le plasma quarks-gluons, sera connu de manière confuse sous le nom de « cristal vivant ».</i> - Dr Rupert Everett-Bancroft

Les montures des Automates Anciens sont constituées d'un alliage extrêmement léger et résistant, baptisé « Orichalculm » par le département d'Archéologie. L'expérimentation initiale a en outre révélé que l'alliage a la capacité de modifier ses propriétés de conductivité en réponse à des stimuli externes.

Les Automates semblent tirer leur énergie électrique d’une réaction de fusion miniaturisée auto-entretenue et auto-modulée au sein d’un composé plasmatique surchauffé : le « Cristal Vivant ». Nous devons sécuriser et analyser un échantillon intact de ce matériau.

Nous n’avons pas trouvé de dispositif capable de transformer l’énergie électrique générée par le Cristal Vivant en énergie mécanique ; c'est-à-dire que nous ne savons pas comment les Automates sont capables de se déplacer. Ceci, ajouté au fait que, selon le rapport de terrain, les parties qui composent l'entité étaient suspendues à distance les unes des autres, nous amène à spéculer sur la présence d'un troisième matériau exotique capable d'annuler la gravité et de fournir fonction motrice, un « Protean Mutane ».

Nous ne sommes pas capables de reproduire ces matériaux exotiques, ni même de fournir une quelconque hypothèse raisonnable quant à leur origine. Cependant, nous sommes convaincus que nous pourrons trouver des applications pratiques si nous parvenons à les conserver sous leur forme inchangée en quantités suffisantes, et une fois que nous pourrons examiner des échantillons du Cristal Vivant et du Mutane Protéen.",,,,,,
EXOTIC_RESEARCH_BENEFITS,Text,,This brings us a step closer to uncovering what happened to the Ancients and of using Exotic Materials for weapon research and development,,Cela nous rapproche de la découverte de ce qui est arrivé aux Anciens et de l'utilisation de matériaux exotiques pour la recherche et le développement d'armes.,,,,,,
PX_YUGGOTHIANENTITY_RESEARCHDEF_REVEALED_TFTV_ALTERNATIVE,Text,,"The astrological charts were easy enough to extract, but we have to dig deeper into the data dump if we want to learn more.",,"Les cartes astrologiques étaient assez faciles à extraire, mais nous devons approfondir les données si nous voulons en savoir plus.",,,,,,
PX_YUGGOTHIANENTITY_RESEARCHDEF_COMPLETE,Text,,"Our analysis of the Antediluvian texts, combined with the knowledge gathered by the Phoenix Project over the course of the last century, has forced us to acknowledge a shocking truth: the war against Earth is being waged by an alien entity. This being of unimaginable age and power is located on Yuggoth, the ninth planet of our solar system.

Around 1.8 million years ago it planted a bioweapon on an asteroid on a collision trajectory with Earth: the Pandoravirus, intended to radically transform the Earth's ecosystem to the advantage of the Yuggothian Entity.

The Entity communicates with its creatures via some form of quasi-telepathic signal. Evidence suggests that some human beings are sensitive to these transmissions, explaining the occurrence of the name ""Yuggoth"" and variations thereof in the work of artists such as H.P. Lovecraft, Virginia Gutierrez, John Bellairs, Ralph Pabodie, and many others. This presumably represents an earlier, less powerful expression of the phenomenon we have termed Oneiric Delirium.

We have concluded that the ultimate purpose of the Entity is to create the ecological conditions that will allow it to come to Earth, and have hypothesized the existence of the Yuggothian Receptacle, a clone or replica to which the Entity will transfer its consciousness. We believe the Pandorans are already in the process of accumulating biomass and genetic material for this purpose.",,"Notre analyse des textes antédiluviens, combinée aux connaissances recueillies par le Projet Phoenix au cours du siècle dernier, nous a obligés à reconnaître une vérité choquante : la guerre contre la Terre est menée par une entité extraterrestre. Cet être d'un âge et d'une puissance inimaginables se trouve sur Yuggoth, la neuvième planète de notre système solaire.

Il y a environ 1,8 million d'années, il a planté une arme biologique sur un astéroïde en trajectoire de collision avec la Terre : le Pandoravirus, destiné à transformer radicalement l'écosystème terrestre au profit de l'Entité Yuggothienne.

L'Entité communique avec ses créatures via une forme de signal quasi télépathique. Les preuves suggèrent que certains êtres humains sont sensibles à ces transmissions, expliquant l'apparition du nom « Yuggoth » et ses variations dans le travail d'artistes tels que H.P. Lovecraft, Virginia Gutierrez, John Bellairs, Ralph Pabodie et bien d'autres. Cela représente probablement une expression antérieure et moins puissante du phénomène que nous avons appelé le Délirium onirique.

Nous avons conclu que le but ultime de l'Entité est de créer les conditions écologiques qui lui permettront de venir sur Terre, et avons émis l'hypothèse de l'existence du Réceptacle Yuggothian, un clone ou une réplique vers lequel l'Entité transférera sa conscience. Nous pensons que les Pandoriens sont déjà en train d’accumuler de la biomasse et du matériel génétique à cette fin.",,,,,,
LIVING_CRYSTAL_RESEARCH_TITLE,Text,,Living Crystal Analysis,,Analyse des cristaux vivants,,,,,,
LIVING_CRYSTAL_RESEARCH_REVEAL,Text,,We have finally obtained an undamaged sample of the Living Crystal,,Nous avons finalement obtenu un échantillon intact du Cristal Vivant,,,,,,
LIVING_CRYSTAL_RESEARCH_COMPLETE,Text,,"<i>""I have always known about the 'Ancients'. I have these memories of my parents talking about them when I was a child... They weren't just real, they were more real to them than everything else. And I have seen the 'Living Crystal' before. My dad kept a small notebook with brown leather covers. Every page was crammed with Hangul writing and sketches. Sometimes I would sit on his lap and he would show me the drawings and explain what they were. The crystal stuck with me because dad joked that it would make my toys come alive.""</i> - Olena Kim 

Initial examination of an unaltered ""Living Crystal"" sample has revealed that it is capable of generating immense amounts of energy, potentially through an as-yet-unknown mechanism. Additionally, the material has the ability to store large amounts of information, similar to a computer memory. It appears to be able to process and manipulate this stored information in ways that are currently beyond our understanding.

A lucky accident has revealed another extraordinary property of the ""Living Crystal"", as one of our researchers slipped in the lab and hit his head, receiving a severe brain injury, putting him in a coma. Since this incident, the rest of the research team has been seeing Dr. Rupert Everett-Bancroft's dreams while asleep!

The crystal must be able to emit some form of signal or energy that interacts with the human brain, allowing the stored memories to seep into our consciousness while we sleep.

It is hypothesized the crystal could be able to tap into a form of collective memory, where information is stored not just within the crystal itself but also in a larger, interconnected network of crystals.",,"<i>""J'ai toujours connu les 'Anciens'. J'ai ces souvenirs de mes parents parlant d'eux quand j'étais enfant... Ils n'étaient pas seulement réels, ils étaient plus réels pour eux que tout le reste. Et J'ai déjà vu le ""Cristal vivant"". Mon père tenait un petit carnet avec des couvertures en cuir marron. Chaque page était remplie d'écritures et de croquis en Hangul. Parfois, je m'asseyais sur ses genoux et il me montrait les dessins et m'expliquait ce qu'ils étaient. . Le cristal m'est resté parce que papa a plaisanté en disant que cela donnerait vie à mes jouets. ""</i> - Olena Kim

L'examen initial d'un échantillon de « cristal vivant » inchangé a révélé qu'il est capable de générer d'immenses quantités d'énergie, potentiellement grâce à un mécanisme encore inconnu. De plus, le matériau a la capacité de stocker de grandes quantités d’informations, à l’instar d’une mémoire d’ordinateur. Il semble être capable de traiter et de manipuler ces informations stockées d’une manière qui dépasse actuellement notre compréhension.

Un heureux accident a révélé une autre propriété extraordinaire du ""Cristal Vivant"", lorsqu'un de nos chercheurs a glissé dans le laboratoire et s'est cogné la tête, subissant une grave lésion cérébrale, le plongeant dans le coma. Depuis cet incident, le reste de l'équipe de recherche voit les rêves du Dr Rupert Everett-Bancroft pendant son sommeil !

Le cristal doit être capable d'émettre une forme de signal ou d'énergie qui interagit avec le cerveau humain, permettant aux souvenirs stockés de s'infiltrer dans notre conscience pendant que nous dormons.

On suppose que le cristal pourrait exploiter une forme de mémoire collective, dans laquelle les informations sont stockées non seulement dans le cristal lui-même, mais également dans un réseau de cristaux plus vaste et interconnecté.",,,,,,
LIVING_CRYSTAL_RESEARCH_BENEFITS,Text,,We can now manufacture weapons that require Living Crystal,,Nous pouvons désormais fabriquer des armes nécessitant du cristal vivant.,,,,,,
PROTEAN_MUTANE_RESEARCH_TITLE,Text,,Protean Mutane Analysis,,Analyse Protéenne Mutane,,,,,,
PROTEAN_MUTANE_RESEARCH_REVEAL,Text,,We have finally secured a sample of the Protean Mutane,,Nous avons enfin obtenu un échantillon du Protean Mutane,,,,,,
PROTEAN_MUTANE_RESEARCH_COMPLETE,Text,,"<i> ""Make no mistake: for the ancients, our ancestors were little more than curious animals. Perhaps they had laws to ensure our protection along with that of the other primates. Maybe they came from somewhere else and brought their own primordial soup with them... These are gods we are talking about, only they cleaned their roadside picnic pretty well when they left. Fortunately for us, we were able to grow without the burden of familiarity with our precursors' magic. Can you imagine how long it would have taken us to invent the lever had we been cursed with the power of ""protean mutane"" in our infancy?""</i> - Alistair Ashby

Protean Mutane possesses the extraordinary ability to manipulate gravitational forces, providing a powerful motor-like effect.

The material is composed of a complex array of molecular structures, including a high concentration of exotic particles known as gravitons. These particles are believed to be responsible for mediating the gravitational force and have only been theorized to exist by physicists.

Protean Mutane appears to harness the energy of these gravitons in a way that has yet to be fully understood. The material's structure also appears to be in a state of constant flux, hence its name is strikingly appropriate; ""Protean"" meaning able to change shape easily and ""Mutane"" meaning mutation.",,"<i> ""Ne vous y trompez pas : pour les anciens, nos ancêtres n'étaient guère plus que des animaux curieux. Peut-être avaient-ils des lois pour assurer notre protection ainsi que celle des autres primates. Peut-être venaient-ils d'ailleurs et apportaient leur propre soupe primordiale avec eux... Ce sont des dieux dont nous parlons, sauf qu'ils ont plutôt bien nettoyé leur pique-nique au bord de la route en partant. Heureusement pour nous, nous avons pu grandir sans le fardeau de la familiarité avec la magie de nos précurseurs. Pouvez-vous imaginer combien de temps cela aurait pris nous a-t-il fallu inventer le levier si nous avions été maudits par le pouvoir du ""mutane protéiforme"" dans notre enfance ?""</i> - Alistair Ashby

Protean Mutane possède la capacité extraordinaire de manipuler les forces gravitationnelles, fournissant un puissant effet moteur.

Le matériau est composé d’un ensemble complexe de structures moléculaires, dont une forte concentration de particules exotiques appelées gravitons. On pense que ces particules sont responsables de la médiation de la force gravitationnelle et leur existence n’a été théorisée que par les physiciens.

Protean Mutane semble exploiter l’énergie de ces gravitons d’une manière qui reste encore à comprendre. La structure du matériau semble également être en constante évolution, d'où son nom étonnamment approprié ; « Protéen » signifiant capable de changer de forme facilement et « Mutane » signifiant mutation.",,,,,,
PROTEAN_MUTANE_RESEARCH_BENEFITS,Text,,"We can now manufacture weapons that require Protean Mutane, and probably reactivate one of the defeated Cyclops, if needed",,"Nous pouvons désormais fabriquer des armes nécessitant du Protean Mutane, et probablement réactiver l'un des Cyclopes vaincus, si nécessaire.",,,,,,
ALN_ELITERANGER_RESEARCHDEF_NAME,Text,,ARTHRON SKIRMISHER CHAMPION,,CHAMPION TIRAILLEUR D'ARTHRON,,,,,,
ALN_ELITERANGER2_RESEARCHDEF_NAME,Text,,ARTHRON SKIRMISHER CHAMPION,,CHAMPION TIRAILLEUR D'ARTHRON,,,,,,
ALN_ELITERANGER3_RESEARCHDEF_NAME,Text,,ARTHRON SKIRMISHER CHAMPION,,CHAMPION TIRAILLEUR D'ARTHRON,,,,,,
ALN_ULTRARANGER_RESEARCHDEF_NAME,Text,,ARTHRON SKIRMISHER PRIME,,ARTHRON TIRAILLEUR MAJEUR,,,,,,
PX_BLASTRESISTANCEVEST_RESEARCHDEF_NAME,Text,,Acid Resistance Technology,,Technologie de résistance aux acides,,,,,,
PX_BLASTRESISTANCEVEST_RESEARCHDEF_UNLOCK,Text,,The natural resistance to Pandoran acid possessed by this creature has promising applications for our own research into a device that would reduce the damage caused by the acid to our operarives.,,La résistance naturelle à l'acide pandoranique que possède cette créature a des applications prometteuses pour nos propres recherches sur un dispositif qui réduirait les dégâts causés par l'acide à nos opérateurs.,,,,,,
PX_BLASTRESISTANCEVEST_RESEARCHDEF_COMPLETE,Text,,"The new acid resistance vest can be fitted under all torso armor sections. It reduces the damage to body parts from Acid by roughly half, providing valuable protection against this new Pandoran threat.",,"Le nouveau gilet résistant aux acides peut être installé sous toutes les sections d'armure du torse. Il réduit de moitié environ les dégâts causés aux parties du corps par l'acide, offrant ainsi une protection précieuse contre cette nouvelle menace pandorienne.",,,,,,
PX_BLASTRESISTANCEVEST_RESEARCHDEF_BENEFITS,Text,,Acid-Res Vest is available for production,,Le gilet Acid-Res est disponible pour la production,,,,,,
PX_ALIEN_ACIDWORM_RESEARCHDEF_BENEFITS,Text,,Can now research acid resistance technology!,,Peut maintenant rechercher la technologie de résistance aux acides !,,,,,,
NJ_FIRERESISTANCETECH_RESEARCHDEF_COMPLETE,Text,,"New heat and blast resistant undersuits have been developed for use on the battlefield. The module is light to wear and can be incorporated into virtually any armor, increasing tolerance to flame and heat by 62%, and reducing the impact of explosive munitions by roughly half.",,"De nouvelles sous-combinaisons résistantes à la chaleur et aux explosions ont été développées pour être utilisées sur le champ de bataille. Le module est léger à porter et peut être intégré dans pratiquement n'importe quelle armure, augmentant la tolérance aux flammes et à la chaleur de 62 % et réduisant l'impact des munitions explosives d'environ la moitié.",,,,,,
NJ_FIRERESISTANCETECH_RESEARCHDEF_NAME,Text,,Blast and Fire Resistant Technology,,Technologie résistante aux explosions et au feu,,,,,,
NJ_FIRERESISTANCETECH_RESEARCHDEF_UNLOCK,Text,,"With the emergence of creatures such as the Fireworms, it is becoming increasingly necessary to invest in better blast and fire resistance technology.",,"Avec l’émergence de créatures telles que les Fireworms, il devient de plus en plus nécessaire d’investir dans une meilleure technologie de résistance aux explosions et au feu.",,,,,,
NJ_PURIFICATIONTECH_RESEARCHDEF_COMPLETE,Text,,"A new type of bio-fuel has been created to use with modern flame throwers, and compact incendiary grenades have been developed from solid fuel technology. The new weapons will assist with clearance, especially inside alien structures.

In addition, new heat and blast resistant undersuits have been developed for use on the battlefield. The module is light to wear and can be incorporated into virtually any armor, increasing tolerance to flame and heat by 62%, and reducing the impact of explosive munitions by roughly half.",,"Un nouveau type de biocarburant a été créé pour être utilisé avec les lance-flammes modernes, et des grenades incendiaires compactes ont été développées à partir de la technologie des combustibles solides. Les nouvelles armes faciliteront le déminage, en particulier à l'intérieur des structures extraterrestres.

De plus, de nouvelles sous-combinaisons résistantes à la chaleur et aux explosions ont été développées pour être utilisées sur le champ de bataille. Le module est léger à porter et peut être intégré dans pratiquement n'importe quelle armure, augmentant la tolérance aux flammes et à la chaleur de 62 % et réduisant l'impact des munitions explosives d'environ la moitié.",,,,,,
PX_LIGHTSNIPERRIFLE_RESEARCHDEF_UNLOCK,Text,,The appearance of Myrmidons has inspired our designers to consider developing a more agile sniper rifle that can deal quickly with small targets at range.,,"L'apparition des Myrmidons a inspiré nos concepteurs à envisager de développer un fusil de précision plus agile, capable de traiter rapidement de petites cibles à distance.",,,,,,
PX_CAPTURETECH_RESEARCHDEF_COMPLETE_TFTV,Text,,"Specialized Pandoran Containment facilities have been designed and successfully tested, allowing us to safely keep Pandorans in a state of constant paralysis. 

In addition, we have equipped all our aircraft with the Skyhook Retrieval and Transportation System (SRTS), which allows us to retrieve fully paralyzed Pandorans from the battlefield after a successful mission.

The SRTS uses micro drones to attach tethers to the immobilized Pandoran organism. Total volume of transportable matter is determined by aircraft carrying capacity. For reference, we estimate that our Manticores should be able to carry up to 3 Arthrons or Tritons.

This represents a step forward in our struggle to understand their biology.",,"Des installations spécialisées de confinement de Pandoran ont été conçues et testées avec succès, nous permettant de maintenir les Pandoriens en toute sécurité dans un état de paralysie constante.

De plus, nous avons équipé tous nos avions du système de récupération et de transport Skyhook (SRTS), qui nous permet de récupérer des Pandorans entièrement paralysés sur le champ de bataille après une mission réussie.

Le SRTS utilise des micro-drones pour attacher des attaches à l'organisme Pandoran immobilisé. Le volume total de matières transportables est déterminé par la capacité de transport de l'avion. Pour référence, nous estimons que nos Manticores devraient pouvoir transporter jusqu'à 3 Arthrons ou Tritons.

Cela représente un pas en avant dans notre lutte pour comprendre leur biologie.",,,,,,
NJ_EXPLOSIVETECH_RESEARCHDEF_COMPLETE,Text,,"A breakthrough in explosives technology has led to the development of a new rocket launcher design. Unlike conventional rockets, this weapon fires armor-piercing projectiles that deal massive damage to a single target. It is ideal for quickly crippling the biggest and toughest Pandoran creatures, as each rocket can inflict three times the normal damage to the limb it hits. The rockets are expensive to produce, but will be worth it if used strategically.
",,"Une percée dans la technologie des explosifs a conduit au développement d’un nouveau modèle de lance-roquettes. Contrairement aux roquettes conventionnelles, cette arme tire des projectiles perforants qui infligent des dégâts massifs à une seule cible. Il est idéal pour paralyser rapidement les créatures Pandoriennes les plus grosses et les plus résistantes, car chaque roquette peut infliger trois fois les dégâts normaux au membre touché. Les fusées sont coûteuses à produire, mais en valent la peine si elles sont utilisées de manière stratégique.",,,,,,
SYN_NANOTECH_RESEARCHDEF_BENEFITS,Text,,Allows manufacturing Nanotech Fieldkit and Vest,,Permet de fabriquer un Nanotech Fieldkit et un Vest,,,,,,
KEY_FS_ALN_MEDIUM_FLYER_RESEARCHDEF_COMPLETE,Text,,"Species classification PF-M
We have confirmed sightings of a new mutation in the Behemoth ecosystem. As in the case of its predecessor, Charun, the cephalopod origins of the creature are obvious to the naked eye. Expect increased survivability and superior armaments.",,"Classification des espèces PF-M
Nous avons confirmé l'observation d'une nouvelle mutation dans l'écosystème Behemoth. Comme dans le cas de son prédécesseur, Charun, les origines céphalopodes de la créature sont évidentes à l'œil nu. Attendez-vous à une capacité de survie accrue et à des armements supérieurs.",,,,,,
KEY_FS_ALN_LARGE_FLYER_RESEARCHDEF_COMPLETE,Text,,"Species classification PF-Alpha
The latest mutation to come out of the Festering Skies is humongous. The cephalopod origins of the creature can still be visually discerned, but how it can remain airborne given its tonnage and no obvious means of propulsion is a baffling mystery. Our aircraft are likely to require advanced weaponry or several sorties to destroy this beast.",,"Classification des espèces PF-Alpha
La dernière mutation issue de Festering Skies est énorme. Les origines céphalopodes de la créature peuvent encore être visuellement discernées, mais comment elle peut rester en l'air étant donné son tonnage et l'absence de moyen de propulsion évident est un mystère déconcertant. Nos avions auront probablement besoin d'un armement avancé ou de plusieurs sorties pour détruire cette bête.",,,,,,
ANU_ANUFUNGUSFOOD_RESEARCHDEF_BENEFITS,Text,,Output of Food Production facilities increased by around 50%,,La production des installations de production alimentaire a augmenté d'environ 50 %,,,,,,
KEY_CH_ALN_ACHERON_ACHLYS_CHAMPION_RESEARCHDEF_COMPLETE,Text,,"Species classification AC-Beta-2
Possibly the most lethal specimen of Acheron. In addition to projecting corrosive goo and transforming corpses into Pandorans, and possessing the capability of evolved Acherons that enables other Pandorans on the battlefield to spread Delirium, reports indicate that the death of this specimen is invariably accompanied by excess Umbra sightings.",,"Classification des espèces AC-Beta-2
Peut-être le spécimen le plus mortel d’Achéron. En plus de projeter des matières corrosives et de transformer les cadavres en Pandorans, et de posséder la capacité d'Achérons évolués qui permet aux autres Pandorans sur le champ de bataille de propager le Delirium, les rapports indiquent que la mort de ce spécimen est invariablement accompagnée d'observations excessives d'Umbra.",,,,,,
KEY_CH_ALN_ACHERON_ACHLYS_CHAMPION_RESEARCHDEF_NAME,Text,,ACHERON ACHLYS CHAMPION,,CHAMPION D'ACHÉRON ACHLYS,,,,,,
KEY_CH_ALN_ACHERON_ACHLYS_RESEARCHDEF_COMPLETE,Text,,"Species classification AC-Beta-1 “Achlys”
An enhanced species of Acheron that has evolved to release chemicals capable of partially paralyzing humans by temporarily reducing their speed, or trapping them or vehicles in corrosive goo. Field observations have found that the creature is also capable of granting Pandorans the ability to spread the Third Mist strain of the Pandoraviurs on people, driving them to delirium, and also can mutate dead corpses, transforming them into Arthrons and Tritons.
",,"Classification des espèces AC-Beta-1 « Achlys »
Une espèce améliorée d'Achéron qui a évolué pour libérer des produits chimiques capables de paralyser partiellement les humains en réduisant temporairement leur vitesse, ou en les piégeant, eux ou les véhicules, dans une matière corrosive. Les observations sur le terrain ont montré que la créature est également capable de donner aux Pandoriens la capacité de propager la souche Third Mist des Pandoraviurs sur les gens, les conduisant au délirium, et peut également muter les cadavres, les transformant en Arthrons et Tritons.",,,,,,
KEY_CH_ALN_ACHERON_ACHLYS_RESEARCHDEF_NAME,Text,,ACHERON ACHLYS,,ACHÉRON ACHLYS,,,,,,
KEY_CH_ALN_ACHERON_ASCLEPIUS_CHAMPION_RESEARCHDEF_COMPLETE,Text,,"Species classification AC-Alpha-2
Considered a superior version of the Acheron Asclepius the specimen is of superior strength and able to project a neuro-toxic spray that temporarily disables limbs. The creature retains the ability to recover the health and armor of other Pandorans, as well as grant them the ability to inflict corruption in combat. The Acheron is also capable of calling reinforcements to its aid.",,"Classification des espèces AC-Alpha-2
Considéré comme une version supérieure de l'Acheron Asclepius, le spécimen est d'une force supérieure et capable de projeter un spray neurotoxique qui désactive temporairement les membres. La créature conserve la capacité de récupérer la santé et l'armure des autres Pandoriens, ainsi que de leur accorder la capacité d'infliger de la corruption au combat. L'Achéron est également capable d'appeler des renforts à son secours.",,,,,,
KEY_CH_ALN_ACHERON_ASCLEPIUS_CHAMPION_RESEARCHDEF_NAME,Text,,ACHERON ASCLEPIUS CHAMPION,,CHAMPION ACHÉRON ASCLEPIUS,,,,,,
KEY_CH_ALN_ACHERON_ASCLEPIUS_RESEARCHDEF_COMPLETE,Text,,"Species classification AC-Alpha-1 “Asclepius”
An advanced form of Acheron, this specimen has mutated to use regenerative spray to remove negative status effects from enemies as well as restore their armor. The greatest threat of the entity is its ability to call reinforcements. While on the battlefield, the creature releases organic chemicals, allowing all Pandorans to spread Oneiric Delirium.",,"Classification des espèces AC-Alpha-1 « Asclepius »
Forme avancée d'Achéron, ce spécimen a muté pour utiliser un spray régénérateur pour supprimer les effets de statut négatifs des ennemis ainsi que restaurer leur armure. La plus grande menace de l’entité est sa capacité à appeler des renforts. Sur le champ de bataille, la créature libère des produits chimiques organiques, permettant à tous les Pandoriens de propager le délirium onirique.",,,,,,
KEY_CH_ALN_ACHERON_ASCLEPIUS_RESEARCHDEF_NAME,Text,,ACHERON ASCLEPIUS,,ACHÉRON ASCLÉPIUS,,,,,,
KEY_CH_ALN_ACHERON_PRIME_RESEARCHDEF_COMPLETE,Text,,"Species classification AC-2
A mutation of the Acheron that spreads the Third Mist Pandoravirus strain more effectively, releasing the infectious compound in cloud form and somehow allowing other Pandorans to spread it too through their attacks. Also has a more dangerous long range acid and Mist attack. As with the previous variation, wherever this creature appears, Umbra sightings and reports of other unexplainable phenomena significantly increase.",,"Classification des espèces AC-2
Une mutation de l'Achéron qui propage plus efficacement la souche Third Mist Pandoravirus, libérant le composé infectieux sous forme de nuage et permettant d'une manière ou d'une autre à d'autres Pandoriens de le propager également via leurs attaques. A également une attaque acide et brume à longue portée plus dangereuse. Comme pour la variante précédente, partout où cette créature apparaît, les observations d'Umbra et les rapports d'autres phénomènes inexplicables augmentent considérablement.",,,,,,
KEY_CH_ALN_ACHERON_PRIME_RESEARCHDEF_NAME,Text,,ACHERON PRIME,,ACHÉRON MAJEUR,,,,,,
KEY_CH_ALN_ACHERON_RESEARCHDEF_COMPLETE,Text,,"Species classification AC-1
A previously unknown creature, named the Acheron due to its ability to spread the Third Mist Pandoravirus strain affecting people's minds and will. Can launch an acid and Mist attack at long range. Sightings of this species have been accompanied by more frequent reports of Umbra presence.",,"Classification des espèces AC-1
Une créature jusqu'alors inconnue, nommée Achéron en raison de sa capacité à propager la souche Third Mist Pandoravirus affectant l'esprit et la volonté des gens. Peut lancer une attaque acide et brume à longue portée. Les observations de cette espèce ont été accompagnées de rapports plus fréquents de présence d'Umbra.",,,,,,
KEY_CH_ALN_ACHERON_RESEARCHDEF_NAME,Text,,ACHERON,,ACHÉRON,,,,,,
PX_ACHERON_DISSECTION_RESEARCHDEF_BENEFITS,Text,,Delirium treatment available,,Traitement du délirium disponible,,,,,,
